OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU100	85	84	11	0	0	11	35	33	24	0	26	1	21%|Cercophora_samala|SH234978.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Cercophora
OTU101	5	6	0	10	27	0	0	274	0	21	0	0	40%|Phoma_brasiliensis|SH202145.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Incertae_sedis_13;g_Phoma
OTU102	250	88	142	0	0	0	4	3	1	0	2	1	100%|Pleosporales_sp|SH205840.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporales_unidentified;g_Pleosporales_unidentified_1
OTU103	0	0	0	73	54	54	0	0	0	29	26	22	100%|Agaricomycetes_sp|SH210627.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricomycetes_unidentified;f_Agaricomycetes_unidentified_1;g_Agaricomycetes_unidentified_1
OTU104	104	54	101	0	0	0	0	0	0	0	0	0	7%|Fungi_sp|SH236957.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU105	15	5	2	7	58	13	5	12	10	86	124	72	5%|Retroconis_fusiformis|SH234970.06FUk_Fungi;p_Ascomycota;c_Incertae_sedis_14;o_Incertae_sedis_15;f_Incertae_sedis_16;g_Retroconis
OTU106	34	25	21	5	0	0	39	57	28	8	8	35	100%|Purpureocillium_lavendulum|SH224001.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Ophiocordycipitaceae;g_Purpureocillium
OTU107	64	112	64	0	0	0	46	26	24	0	0	0	97%|Ascomycota_sp|SH236513.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU108	0	0	0	0	0	0	111	215	116	0	4	2	18%|Conocybe_singeriana|SH208965.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Bolbitiaceae;g_Conocybe
OTU109	0	0	0	0	0	0	15	6	1	191	232	134	33%|Chaetothyriales_sp|SH209754.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Chaetothyriales_unidentified;g_Chaetothyriales_unidentified_1
OTU110	50	60	51	0	0	0	56	58	51	3	7	12	61%|Basidiodendron_sp|SH234585.06FUk_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_Incertae_sedis_28;g_Basidiodendron
OTU111	60	41	35	0	0	0	35	37	35	0	0	1	100%|Pleosporaceae_sp|SH224796.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Pleosporaceae;g_Pleosporaceae_unidentified
